procWeight, totalSymbols, maximumResourceConsumption, reproductionLength, localCELength, stackHeight, numReturns
1.0, 1000000, 331, 177, 0, 34, 222113
2.0, 100000000, 439, 218, 2, 61, 30769810
1.0, 10000000, 408, 224, 9, 33, 2222949
5.0, 100000000, 918, 470, 5, 185, 39996719
2.0, 100000000, 543, 296, 0, 77, 30771457
0.1, 100000000, 30534671, 30534613, 87, 2, 3703170
1.0, 100000000, 456, 233, 1, 35, 22227617
0.01, 1000000000, 891467878, 891467878, 891467877, 1, 3970284
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 50, 47, 46, 1, 7
0.1, 1000, 355, 284, 283, 1, 48
0.1, 10000, 2743, 2743, 32, 4, 374
0.1, 100000, 26824, 26824, 32, 3, 3688
0.1, 1000000, 259998, 259974, 259973, 1, 37159
0.1, 10000000, 2620671, 2620661, 7, 3, 369905
0.1, 1000000000, 267314278, 267314278, 36, 6, 37038736
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 4, 3, 0
0.5, 100, 69, 69, 6, 6, 6
0.5, 1000, 120, 76, 12, 11, 117
0.5, 10000, 189, 186, 14, 19, 1417
0.5, 100000, 314, 84, 1, 11, 14294
0.5, 1000000, 506, 129, 8, 10, 142857
0.5, 10000000, 993, 725, 7, 13, 1428491
0.1, 1000000000, 268690587, 268690568, 1, 4, 37047222
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 0, 4, 0
0.5, 100, 54, 53, 2, 10, 5
0.5, 1000, 140, 60, 0, 7, 130
0.5, 10000, 198, 132, 1, 15, 1375
0.5, 100000, 337, 142, 9, 15, 14178
0.5, 1000000, 492, 367, 10, 18, 143494
5.0, 1000000000, 918, 561, 3, 215, 400001996
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 99, 99, 98, 1, 1
0.01, 1000, 794, 794, 793, 1, 5
0.01, 10000, 9257, 9257, 9256, 1, 30
0.01, 100000, 90501, 90501, 90500, 1, 389
0.01, 1000000, 904993, 904993, 904992, 1, 3925
2.0, 1000000000, 487, 301, 1, 69, 307697626
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 4, 4, 0
5.0, 100, 78, 78, 0, 41, 12
5.0, 1000, 272, 262, 4, 114, 324
5.0, 10000, 554, 413, 3, 165, 3917
5.0, 100000, 562, 317, 10, 124, 39952
5.0, 1000000, 624, 424, 9, 167, 399868
0.5, 10000000, 1382, 1218, 7, 12, 1428358
0.01, 10000000, 9036429, 9036429, 9036428, 1, 39620
5.0, 10000000, 657, 394, 4, 163, 3999454
0.1, 100000000, 26193169, 26193169, 32, 2, 3700672
2.0, 1000000000, 591, 347, 0, 76, 307708010
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 10, 0
5.0, 100, 75, 75, 1, 47, 16
5.0, 1000, 321, 310, 0, 156, 310
5.0, 10000, 706, 706, 1, 308, 3814
5.0, 100000, 873, 680, 0, 292, 39841
5.0, 1000000, 1028, 535, 0, 245, 399917
5.0, 10000000, 1028, 655, 2, 278, 3999975
0.5, 100000000, 8453, 8186, 0, 9, 14287883
0.1, 1000000000, 304823763, 304823705, 0, 3, 37043315
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 1, 3, 0
0.5, 100, 42, 28, 8, 5, 11
0.5, 1000, 114, 30, 25, 2, 139
0.5, 10000, 224, 176, 8, 10, 1387
0.5, 100000, 332, 133, 8, 7, 14168
0.5, 1000000, 727, 528, 1, 12, 142854
0.5, 100000000, 10095, 9775, 2, 9, 14291296
0.01, 100000000, 90353630, 90353630, 75, 2, 395880
1.0, 1000000000, 557, 305, 0, 37, 222226292
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 8, 8, 0, 5, 1
2.0, 100, 72, 72, 1, 33, 10
2.0, 1000, 292, 269, 0, 87, 246
2.0, 10000, 428, 237, 1, 83, 3034
2.0, 100000, 435, 259, 1, 87, 30619
2.0, 1000000, 477, 260, 8, 77, 307771
5.0, 100000000, 714, 455, 1, 176, 39998890
0.5, 10000000, 3180, 2950, 10, 10, 1427331
2.0, 10000000, 540, 414, 2, 115, 3078540
5.0, 100000000, 1133, 647, 2, 253, 39999528
0.5, 100000000, 29437, 29169, 2, 7, 14286093
2.0, 100000000, 593, 346, 6, 104, 30775057
0.1, 1000000000, 261560572, 261560509, 261560508, 1, 37023394
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 5, 2, 0
0.5, 100, 86, 86, 5, 13, 4
0.5, 1000, 149, 74, 0, 14, 140
0.5, 10000, 259, 98, 3, 13, 1483
0.5, 100000, 373, 248, 0, 17, 14217
0.5, 1000000, 567, 178, 17, 6, 143321
0.5, 10000000, 916, 618, 0, 14, 1430462
0.01, 1000000000, 903334930, 903334930, 903334929, 1, 3966859
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 0, 2, 0
0.1, 100, 47, 27, 26, 1, 5
0.1, 1000, 234, 234, 9, 3, 46
0.1, 10000, 3367, 3328, 28, 2, 387
0.1, 100000, 31214, 31214, 31213, 1, 3807
0.1, 1000000, 318419, 318418, 10, 4, 36995
0.5, 1000000000, 88487, 88297, 11, 16, 142864164
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 2, 3, 0
1.0, 100, 75, 72, 6, 18, 11
1.0, 1000, 150, 120, 5, 27, 200
1.0, 10000, 239, 93, 5, 24, 2209
1.0, 100000, 303, 202, 8, 28, 22310
1.0, 1000000, 361, 122, 3, 20, 221389
5.0, 1000000000, 751, 360, 10, 142, 399997369
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 885, 885, 884, 1, 5
0.01, 10000, 9086, 9086, 9085, 1, 36
0.01, 100000, 89342, 89342, 89341, 1, 395
0.1, 10000000, 3163394, 3163394, 3163393, 1, 370274
0.01, 1000000, 902460, 902460, 902459, 1, 3935
1.0, 10000000, 398, 165, 7, 32, 2220301
0.01, 10000000, 8997633, 8997633, 8997632, 1, 39706
0.5, 1000000000, 97022, 96835, 2, 11, 142870493
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 7, 4, 0, 2, 1
1.0, 100, 73, 64, 3, 17, 11
1.0, 1000, 169, 140, 3, 32, 208
1.0, 10000, 242, 157, 0, 30, 2232
1.0, 100000, 284, 169, 0, 35, 22271
1.0, 1000000, 355, 187, 0, 35, 221984
1.0, 10000000, 368, 250, 0, 38, 2222117
5.0, 1000000000, 1184, 624, 1, 263, 399991690
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 80, 80, 79, 1, 1
0.01, 1000, 842, 833, 832, 1, 6
0.01, 10000, 8500, 8500, 8499, 1, 55
0.01, 100000, 89478, 89478, 89477, 1, 406
0.01, 1000000, 893235, 893235, 893234, 1, 3938
0.01, 10000000, 8927645, 8927645, 8927644, 1, 39557
0.5, 100000000, 5962, 5794, 11, 16, 14281121
0.1, 100000000, 31671693, 31671693, 31671692, 1, 3702180
1.0, 100000000, 457, 182, 3, 28, 22218355
0.01, 100000000, 89932372, 89932372, 89932371, 1, 396112
2.0, 1000000000, 618, 311, 2, 94, 307702438
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 7, 7, 0, 3, 1
5.0, 100, 79, 79, 0, 50, 9
5.0, 1000, 428, 422, 0, 226, 271
5.0, 10000, 1187, 1158, 0, 565, 3695
5.0, 100000, 1788, 1481, 0, 715, 39701
5.0, 1000000, 2180, 1606, 1, 754, 399770
0.5, 1000000000, 298578, 298399, 1, 13, 142867802
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 1, 3, 0
1.0, 100, 71, 60, 7, 12, 13
1.0, 1000, 186, 120, 0, 23, 206
1.0, 10000, 231, 117, 16, 16, 2148
1.0, 100000, 272, 164, 4, 26, 22042
1.0, 1000000, 345, 135, 0, 22, 221995
5.0, 10000000, 2180, 1525, 3, 716, 3999136
1.0, 100000000, 487, 211, 0, 25, 22218380
1.0, 10000000, 406, 192, 2, 20, 2221503
0.01, 100000000, 89272325, 89272325, 89272324, 1, 395826
5.0, 100000000, 2309, 1407, 2, 657, 39997767
1.0, 100000000, 485, 204, 0, 23, 22220213
0.5, 1000000000, 57944, 57704, 11, 12, 142852047
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 100, 100, 99, 1, 0
0.1, 1000, 508, 486, 8, 4, 36
0.1, 10000, 2499, 2499, 6, 3, 361
0.1, 100000, 24186, 24098, 38, 2, 3726
0.1, 1000000, 256562, 256542, 28, 2, 36962
0.1, 10000000, 2527555, 2527410, 2527409, 1, 371582
0.1, 1000000000, 316596116, 316596064, 6, 5, 37029447
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 9, 9, 2, 4, 1
0.5, 100, 47, 44, 13, 9, 12
0.5, 1000, 123, 59, 0, 9, 153
0.5, 10000, 179, 77, 0, 7, 1471
0.5, 100000, 294, 100, 34, 7, 14233
0.5, 1000000, 785, 681, 3, 10, 142715
0.01, 1000000000, 899247172, 899247172, 899247171, 1, 3967214
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 7, 2, 0
0.1, 100, 57, 48, 1, 4, 3
0.1, 1000, 457, 457, 60, 3, 31
0.1, 10000, 3040, 3007, 1, 2, 362
0.1, 100000, 30844, 30840, 30839, 1, 3656
0.1, 1000000, 298082, 298074, 0, 2, 37074
0.5, 10000000, 5584, 5428, 1, 8, 1428823
0.1, 10000000, 2926953, 2926953, 2926952, 1, 370754
1.0, 1000000000, 510, 216, 5, 24, 222212177
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 1, 2, 0
0.5, 100, 65, 53, 1, 7, 10
0.5, 1000, 209, 209, 16, 21, 139
0.5, 10000, 220, 162, 5, 16, 1425
0.5, 100000, 357, 198, 0, 14, 14394
0.5, 1000000, 448, 229, 11, 7, 143312
0.5, 10000000, 1088, 870, 2, 12, 1429457
1.0, 1000000000, 538, 194, 11, 35, 222223008
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 0, 8, 0
2.0, 100, 69, 64, 2, 29, 12
2.0, 1000, 202, 122, 1, 47, 280
2.0, 10000, 299, 190, 0, 64, 3010
2.0, 100000, 384, 307, 12, 82, 30654
2.0, 1000000, 387, 279, 1, 82, 307513
2.0, 10000000, 455, 274, 1, 74, 3078429
0.01, 1000000000, 892419327, 892419327, 25, 2, 3966712
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 7, 0
5.0, 100, 78, 78, 0, 48, 14
5.0, 1000, 250, 247, 0, 108, 332
5.0, 10000, 404, 310, 1, 114, 3912
5.0, 100000, 451, 331, 2, 117, 39942
5.0, 1000000, 485, 310, 0, 117, 399715
5.0, 10000000, 512, 373, 0, 150, 4000480
0.1, 100000000, 25453406, 25453405, 10, 2, 3706185
0.5, 100000000, 49615, 49428, 2, 9, 14288944
5.0, 1000000000, 2423, 1702, 2, 762, 399994596
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 4, 2, 0
0.5, 100, 80, 80, 2, 16, 6
0.5, 1000, 149, 74, 8, 14, 143
0.5, 10000, 226, 150, 1, 20, 1440
0.5, 100000, 332, 210, 0, 18, 14236
0.5, 1000000, 461, 304, 3, 14, 142664
0.1, 100000000, 29501467, 29501390, 2, 3, 3702844
0.5, 10000000, 905, 645, 6, 14, 1428415
0.5, 100000000, 8077, 7860, 2, 11, 14289815
1.0, 1000000000, 577, 312, 0, 27, 222233372
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 933, 918, 917, 1, 3
0.01, 10000, 9203, 9203, 9202, 1, 35
0.01, 100000, 89437, 89437, 89436, 1, 409
0.01, 1000000, 891013, 891013, 891012, 1, 4024
0.01, 10000000, 8905970, 8905970, 8905969, 1, 39982
2.0, 100000000, 501, 252, 0, 63, 30766578
5.0, 100000000, 579, 262, 8, 106, 40001384
0.5, 100000000, 5047, 4766, 3, 20, 14286034
0.01, 100000000, 89085416, 89085412, 89085411, 1, 397397
0.1, 1000000000, 254995723, 254995679, 53, 2, 37037445
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 0, 2, 0
0.5, 100, 70, 70, 43, 6, 8
0.5, 1000, 172, 137, 22, 10, 136
0.5, 10000, 224, 98, 4, 10, 1384
0.5, 100000, 283, 168, 7, 13, 14241
0.5, 1000000, 480, 188, 5, 11, 142713
0.5, 10000000, 993, 792, 5, 13, 1427666
0.1, 1000000000, 295319631, 295319581, 11, 2, 37040798
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 6, 0
5.0, 100, 87, 87, 0, 54, 8
5.0, 1000, 388, 388, 3, 192, 289
5.0, 10000, 730, 704, 0, 328, 3788
5.0, 100000, 795, 727, 0, 341, 39811
5.0, 1000000, 939, 687, 1, 302, 400316
0.5, 1000000000, 499497, 499343, 29, 7, 142854088
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 64, 46, 17, 3, 2
0.1, 1000, 243, 239, 8, 5, 43
0.1, 10000, 2785, 2785, 59, 3, 376
0.1, 100000, 27476, 27476, 14, 2, 3742
0.1, 1000000, 276520, 276520, 121, 2, 37063
5.0, 10000000, 1005, 715, 3, 313, 3998760
0.1, 10000000, 2770059, 2770050, 22, 4, 370585
0.5, 1000000000, 77134, 76828, 8, 12, 142875425
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 3, 3, 0
1.0, 100, 71, 58, 0, 18, 11
1.0, 1000, 152, 110, 0, 24, 218
1.0, 10000, 251, 135, 12, 26, 2199
1.0, 100000, 293, 135, 3, 28, 22094
1.0, 1000000, 359, 210, 1, 26, 222307
2.0, 1000000000, 558, 250, 6, 64, 307688017
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 2, 2, 0
0.5, 100, 56, 55, 10, 6, 7
0.5, 1000, 169, 67, 8, 11, 126
0.5, 10000, 303, 122, 18, 10, 1440
0.5, 100000, 401, 205, 6, 19, 14403
0.5, 1000000, 403, 61, 4, 11, 142749
1.0, 10000000, 481, 158, 4, 23, 2223283
0.5, 10000000, 556, 266, 1, 21, 1428450
5.0, 1000000000, 633, 414, 0, 126, 399990835
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 93, 27, 26, 1, 1
0.01, 1000, 763, 763, 762, 1, 4
0.01, 10000, 8609, 8609, 8608, 1, 44
0.01, 100000, 88486, 88486, 88485, 1, 413
0.01, 1000000, 887769, 887769, 887768, 1, 3976
0.01, 10000000, 8853362, 8853362, 8853361, 1, 39931
0.5, 100000000, 6291, 6119, 6, 19, 14280094
0.5, 1000000000, 48006, 47871, 31, 9, 142845770
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 4, 3, 0
1.0, 100, 65, 65, 3, 20, 9
1.0, 1000, 154, 75, 1, 23, 203
1.0, 10000, 228, 178, 4, 40, 2175
1.0, 100000, 286, 212, 0, 43, 22135
1.0, 1000000, 398, 241, 2, 39, 222216
0.01, 1000000000, 891092611, 891092611, 891092610, 1, 3969601
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 77, 60, 2, 5, 2
0.1, 1000, 309, 242, 21, 2, 46
0.1, 10000, 3213, 3157, 11, 3, 364
0.1, 100000, 26224, 26138, 26137, 1, 3697
0.1, 1000000, 259975, 259856, 259855, 1, 36888
5.0, 100000000, 1080, 644, 2, 284, 39995986
1.0, 10000000, 422, 158, 0, 30, 2221027
0.1, 100000000, 27731552, 27731552, 1, 5, 3705721
0.1, 10000000, 2612597, 2612561, 55, 2, 369832
1.0, 100000000, 481, 132, 9, 20, 22220507
0.5, 100000000, 1883, 1232, 18, 15, 14287992
0.01, 100000000, 88641756, 88641756, 88641755, 1, 395842
1.0, 100000000, 509, 264, 8, 35, 22216909
0.1, 100000000, 26017004, 26016904, 26016903, 1, 3702640
0.5, 1000000000, 58605, 58373, 2, 17, 142853511
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 0, 6, 0
1.0, 100, 60, 60, 3, 15, 12
1.0, 1000, 223, 215, 0, 46, 210
1.0, 10000, 281, 113, 0, 24, 2254
1.0, 100000, 366, 145, 0, 32, 22078
1.0, 1000000, 371, 221, 7, 29, 221804
5.0, 1000000000, 1126, 750, 0, 301, 399997825
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 4, 3, 0
0.01, 100, 74, 74, 69, 2, 1
0.01, 1000, 818, 818, 817, 1, 7
0.01, 10000, 8896, 8896, 8895, 1, 36
0.01, 100000, 87529, 87529, 87528, 1, 430
1.0, 10000000, 411, 118, 2, 22, 2223037
0.01, 1000000, 889498, 889498, 889497, 1, 4135
0.01, 10000000, 8907768, 8907768, 8907767, 1, 40073
0.1, 1000000000, 277686440, 277686322, 8, 2, 37045628
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 9, 9, 0, 3, 1
0.5, 100, 67, 53, 19, 8, 7
0.5, 1000, 148, 119, 2, 14, 128
0.5, 10000, 296, 147, 14, 9, 1365
0.5, 100000, 402, 133, 0, 12, 13969
0.5, 1000000, 554, 237, 9, 5, 142947
0.5, 10000000, 1682, 1501, 3, 6, 1428632
1.0, 1000000000, 500, 238, 6, 31, 222227971
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 9, 9, 1, 4, 1
2.0, 100, 79, 79, 4, 29, 9
2.0, 1000, 258, 217, 0, 73, 245
2.0, 10000, 337, 226, 0, 69, 3018
0.01, 1000000000, 886572473, 886572473, 27, 2, 3964660
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 2, 3, 0
0.1, 100, 76, 55, 47, 3, 4
0.1, 1000, 362, 354, 3, 3, 31
0.1, 10000, 2338, 2338, 23, 2, 382
2.0, 100000, 369, 188, 0, 55, 30772
0.1, 100000, 23347, 23213, 44, 2, 3766
2.0, 1000000, 493, 212, 5, 59, 307702
0.1, 1000000, 244553, 244553, 23, 2, 37143
0.5, 1000000000, 10918, 10473, 21, 10, 142856722
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 0, 5, 0
1.0, 100, 67, 61, 7, 17, 10
1.0, 1000, 207, 196, 2, 46, 193
1.0, 10000, 278, 274, 1, 81, 2161
1.0, 100000, 367, 199, 10, 41, 22231
1.0, 1000000, 447, 242, 4, 53, 222089
2.0, 10000000, 493, 245, 2, 74, 3077198
0.1, 10000000, 2436090, 2436090, 103, 2, 370156
1.0, 10000000, 508, 290, 2, 57, 2221362
1.0, 100000000, 482, 284, 4, 33, 22222282
0.01, 100000000, 89165627, 89165627, 89165626, 1, 397316
1.0, 1000000000, 586, 337, 1, 41, 222220112
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 7, 7, 2, 4, 1
2.0, 100, 67, 67, 0, 25, 12
2.0, 1000, 262, 260, 0, 94, 259
2.0, 10000, 437, 271, 1, 102, 3004
2.0, 100000, 545, 407, 1, 134, 30643
2.0, 1000000, 596, 347, 1, 106, 307378
0.1, 1000000000, 260171897, 260171858, 56, 5, 37044890
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 9, 1, 0
0.5, 100, 84, 79, 5, 8, 4
0.5, 1000, 159, 111, 4, 15, 127
0.5, 10000, 259, 177, 2, 12, 1388
0.5, 100000, 395, 132, 5, 9, 14111
0.5, 1000000, 445, 215, 4, 11, 142505
2.0, 10000000, 616, 458, 1, 150, 3076398
0.5, 10000000, 1120, 884, 4, 18, 1429378
0.5, 100000000, 11912, 11630, 2, 9, 14283080
2.0, 100000000, 532, 262, 1, 77, 30766727
0.1, 100000000, 24343362, 24343358, 31, 2, 3703465
1.0, 100000000, 556, 254, 5, 50, 22218689
2.0, 100000000, 673, 326, 3, 117, 30766876
0.5, 100000000, 6782, 6572, 2, 12, 14290059
0.01, 1000000000, 891780897, 891780897, 891780896, 1, 3969389
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 95, 85, 24, 2, 1
0.1, 1000, 406, 386, 25, 2, 31
0.1, 10000, 2605, 2591, 2, 6, 382
0.1, 100000, 24997, 24983, 19, 2, 3760
0.1, 1000000, 259666, 259666, 5, 5, 37416
0.1, 10000000, 2626719, 2626703, 5, 4, 370794
1.0, 1000000000, 560, 309, 3, 31, 222233516
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 9, 9, 0, 5, 1
2.0, 100, 72, 72, 2, 31, 17
2.0, 1000, 255, 255, 0, 80, 254
2.0, 10000, 470, 229, 0, 72, 3023
2.0, 100000, 470, 224, 2, 81, 30634
2.0, 1000000, 505, 369, 3, 107, 307954
2.0, 10000000, 552, 267, 2, 74, 3077945
0.5, 1000000000, 118077, 117911, 13, 13, 142851026
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 1, 3, 0
1.0, 100, 63, 63, 1, 14, 9
1.0, 1000, 190, 144, 3, 30, 203
1.0, 10000, 252, 142, 0, 33, 2211
1.0, 100000, 292, 238, 0, 37, 22251
1.0, 1000000, 361, 177, 14, 28, 222568
1.0, 10000000, 418, 347, 23, 37, 2222729
1.0, 1000000000, 594, 297, 4, 52, 222224503
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 0, 4, 0
2.0, 100, 81, 81, 0, 36, 7
2.0, 1000, 354, 346, 2, 147, 208
2.0, 10000, 775, 604, 5, 240, 2895
2.0, 100000, 957, 687, 7, 255, 30442
2.0, 1000000000, 555, 249, 4, 58, 307687474
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 8, 0
5.0, 100, 71, 71, 0, 41, 16
5.0, 1000, 371, 371, 0, 175, 294
5.0, 10000, 769, 737, 1, 320, 3834
5.0, 100000, 786, 641, 5, 273, 39832
2.0, 1000000, 1073, 478, 1, 184, 307640
5.0, 1000000, 911, 643, 2, 272, 400157
0.1, 1000000000, 243292839, 243292825, 243292824, 1, 37037676
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 1, 4, 0
0.5, 100, 38, 24, 0, 9, 9
0.5, 1000, 150, 136, 1, 19, 138
0.5, 10000, 238, 141, 0, 17, 1370
0.5, 100000, 348, 128, 0, 8, 14229
0.5, 1000000, 387, 176, 0, 12, 142852
2.0, 10000000, 1279, 698, 0, 270, 3077345
5.0, 10000000, 954, 711, 0, 294, 4000624
0.5, 10000000, 934, 630, 2, 13, 1428028
0.1, 100000000, 26344579, 26344521, 53, 2, 3705279
2.0, 100000000, 618, 365, 5, 88, 30768776
2.0, 1000000000, 752, 326, 3, 98, 307679665
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 1, 7, 0
5.0, 100, 87, 87, 2, 54, 11
5.0, 1000, 453, 453, 2, 250, 256
5.0, 10000, 1558, 1524, 0, 749, 3529
5.0, 100000, 3034, 2774, 1, 1328, 39150
5.0, 1000000, 3830, 3109, 3, 1463, 399248
5.0, 10000000, 3881, 2445, 4, 1173, 4000040
0.5, 1000000000, 59457, 59206, 24, 11, 142862604
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 0, 3, 0
1.0, 100, 56, 52, 10, 11, 8
1.0, 1000, 184, 161, 2, 39, 189
1.0, 10000, 283, 155, 1, 34, 2182
1.0, 100000, 295, 155, 3, 42, 22315
1.0, 1000000, 375, 241, 8, 38, 222119
1.0, 100000000, 486, 241, 0, 25, 22220136
1.0, 10000000, 449, 195, 2, 38, 2223166
5.0, 100000000, 1007, 674, 0, 279, 39997359
2.0, 100000000, 1279, 758, 2, 263, 30769171
0.5, 100000000, 4299, 4125, 1, 16, 14290702
5.0, 100000000, 4324, 2946, 8, 1410, 39999473
1.0, 100000000, 475, 180, 4, 17, 22221618
0.1, 1000000000, 263232375, 263232333, 263232332, 1, 37036947
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 4, 2, 0
0.5, 100, 74, 74, 4, 10, 6
0.5, 1000, 163, 110, 3, 16, 134
0.5, 10000, 310, 151, 0, 18, 1424
0.5, 100000, 344, 223, 1, 18, 14416
0.5, 1000000, 404, 234, 1, 11, 142602
2.0, 1000000000, 675, 260, 4, 82, 307693309
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 8, 0
5.0, 100, 73, 73, 0, 46, 15
5.0, 1000, 378, 368, 2, 176, 283
5.0, 10000, 1141, 1090, 0, 486, 3687
5.0, 100000, 1737, 1303, 4, 547, 39713
5.0, 1000000, 1941, 1287, 3, 517, 399995
0.5, 10000000, 1120, 860, 9, 13, 1429201
5.0, 10000000, 2012, 1333, 0, 543, 3999668
5.0, 1000000000, 1076, 663, 4, 266, 399999566
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 16, 2, 0
0.01, 1000, 882, 882, 881, 1, 2
0.01, 10000, 9227, 9227, 9226, 1, 37
0.01, 100000, 89769, 89769, 89768, 1, 396
0.01, 1000000, 899779, 899779, 899778, 1, 3870
0.01, 10000000, 8948256, 8948256, 8948255, 1, 39723
2.0, 1000000000, 1309, 787, 0, 285, 307713531
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 1, 5, 0
5.0, 100, 93, 93, 0, 61, 5
5.0, 1000, 543, 541, 6, 314, 211
5.0, 10000, 3392, 3391, 1, 1859, 2906
5.0, 100000, 25763, 25761, 1, 13521, 32012
5.0, 1000000, 226936, 226936, 0, 117299, 329716
1.0, 1000000000, 571, 244, 11, 26, 222226026
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 1, 6, 0
2.0, 100, 75, 75, 2, 36, 10
2.0, 1000, 196, 170, 1, 66, 263
2.0, 10000, 282, 179, 4, 66, 2999
2.0, 100000, 321, 265, 5, 89, 30610
2.0, 1000000, 402, 245, 4, 83, 307404
5.0, 10000000, 2215342, 2215342, 4, 1149363, 3309920
2.0, 10000000, 463, 244, 2, 65, 3076418
0.5, 1000000000, 40888, 40751, 12, 14, 142866256
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 9, 9, 0, 5, 1
1.0, 100, 76, 76, 1, 20, 9
1.0, 1000, 135, 111, 6, 30, 208
1.0, 10000, 215, 152, 6, 35, 2198
1.0, 100000, 286, 157, 1, 36, 22185
1.0, 1000000, 364, 157, 4, 32, 222644
1.0, 10000000, 447, 215, 3, 34, 2223425
5.0, 1000000000, 4503, 3172, 0, 1501, 399992931
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 906, 906, 905, 1, 7
0.01, 10000, 8324, 8324, 8323, 1, 45
0.01, 100000, 89571, 89502, 89501, 1, 381
0.01, 1000000, 889616, 889616, 889615, 1, 3964
0.5, 100000000, 6992, 6819, 0, 11, 14288135
5.0, 100000000, 2177, 1255, 0, 536, 40000185
0.01, 10000000, 8906054, 8906054, 8906053, 1, 39627
0.01, 100000000, 89505234, 89505234, 89505233, 1, 397450
1.0, 1000000000, 571, 308, 9, 43, 222234597
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 0, 6, 0
2.0, 100, 74, 74, 3, 28, 11
2.0, 1000, 250, 205, 0, 79, 260
2.0, 10000, 340, 309, 1, 111, 3019
